"ll","tt","X1","X2","X3"
1,0,950,50,0
1,1,936,50,14
1,2,922,51,27
1,3,899,63,38
1,4,872,68,60
1,5,846,80,74
1,6,826,73,101
1,7,803,83,114
1,8,786,71,143
1,9,769,73,158
1,10,753,68,179
1,11,734,75,191
1,12,714,71,215
1,13,696,73,231
1,14,683,70,247
1,15,665,71,264
1,16,643,76,281
1,17,617,76,307
1,18,597,70,333
1,19,583,70,347
1,20,560,72,368
1,21,544,66,390
1,22,526,65,409
1,23,513,58,429
1,24,497,61,442
1,25,484,55,461
1,26,474,54,472
1,27,463,55,482
1,28,453,50,497
1,29,440,52,508
1,30,431,48,521
2,0,950,50,0
2,1,931,56,13
2,2,913,60,27
2,3,888,71,41
2,4,860,77,63
2,5,835,79,86
2,6,808,85,107
2,7,782,85,133
2,8,753,90,157
2,9,728,88,184
2,10,699,103,198
2,11,657,122,221
2,12,618,126,256
2,13,578,131,291
2,14,550,119,331
2,15,527,116,357
2,16,501,113,386
2,17,478,107,415
2,18,456,109,435
2,19,431,109,460
2,20,405,100,495
2,21,392,91,517
2,22,379,86,535
2,23,366,76,558
2,24,353,74,573
2,25,343,67,590
2,26,329,64,607
2,27,325,46,629
2,28,311,44,645
2,29,300,40,660
2,30,296,33,671
3,0,950,50,0
3,1,928,63,9
3,2,899,77,24
3,3,865,88,47
3,4,830,105,65
3,5,788,114,98
3,6,750,124,126
3,7,710,130,160
3,8,662,155,183
3,9,607,164,229
3,10,566,166,268
3,11,520,183,297
3,12,484,182,334
3,13,445,170,385
3,14,410,161,429
3,15,377,156,467
3,16,349,147,504
3,17,325,134,541
3,18,308,117,575
3,19,290,106,604
3,20,280,91,629
3,21,265,83,652
3,22,252,82,666
3,23,244,64,692
3,24,236,61,703
3,25,234,46,720
3,26,228,46,726
3,27,226,36,738
3,28,225,32,743
3,29,225,26,749
3,30,223,22,755
4,0,950,50,0
4,1,924,62,14
4,2,903,62,35
4,3,869,74,57
4,4,844,82,74
4,5,810,97,93
4,6,767,110,123
4,7,727,127,146
4,8,688,136,176
4,9,641,150,209
4,10,603,145,252
4,11,560,149,291
4,12,525,147,328
4,13,494,143,363
4,14,477,116,407
4,15,458,109,433
4,16,439,97,464
4,17,426,86,488
4,18,411,82,507
4,19,391,87,522
4,20,378,76,546
4,21,370,69,561
4,22,364,57,579
4,23,355,52,593
4,24,351,47,602
4,25,346,43,611
4,26,339,39,622
4,27,334,34,632
4,28,333,28,639
4,29,331,24,645
4,30,329,21,650
5,0,950,50,0
5,1,929,59,12
5,2,911,58,31
5,3,892,60,48
5,4,874,58,68
5,5,848,69,83
5,6,823,77,100
5,7,793,86,121
5,8,765,91,144
5,9,739,92,169
5,10,713,94,193
5,11,694,85,221
5,12,670,94,236
5,13,647,96,257
5,14,617,104,279
5,15,589,107,304
5,16,564,101,335
5,17,541,98,361
5,18,516,96,388
5,19,489,103,408
5,20,463,104,433
5,21,449,95,456
5,22,433,89,478
5,23,417,86,497
5,24,397,86,517
5,25,378,85,537
5,26,365,78,557
5,27,353,78,569
5,28,342,70,588
5,29,334,58,608
5,30,323,56,621
6,0,950,50,0
6,1,923,59,18
6,2,899,63,38
6,3,876,67,57
6,4,846,78,76
6,5,818,84,98
6,6,790,96,114
6,7,766,96,138
6,8,750,91,159
6,9,728,88,184
6,10,701,91,208
6,11,672,93,235
6,12,645,99,256
6,13,615,103,282
6,14,595,97,308
6,15,564,101,335
6,16,549,90,361
6,17,524,91,385
6,18,502,85,413
6,19,479,88,433
6,20,464,77,459
6,21,456,68,476
6,22,444,68,488
6,23,437,65,498
6,24,430,55,515
6,25,418,49,533
6,26,405,50,545
6,27,397,44,559
6,28,391,43,566
6,29,385,41,574
6,30,376,38,586
7,0,950,50,0
7,1,929,62,9
7,2,910,68,22
7,3,884,72,44
7,4,858,80,62
7,5,828,91,81
7,6,794,98,108
7,7,768,99,133
